producto_id,nombre,sku,fuente,principio_activo,molecula_enlazada,ref_id,atc_id
38032,ESOMEPRAZOL 40 MG X 14 TABLETAS RECUBIERTAS,ME35847/3,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38033,ESOMEPRAZOL 20 MG X 16 CAPSULAS CON MICROGRANULOS DE LIBERACION ENTERICA,ME37458/2,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38034,ESOMEPRAZOL 20 MG X 28 CAPSULAS CON MICROGRANULOS DE LIBERACION ENTERICA,ME37458/3,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38036,ESOMEPRAZOL 20 MG X 20 TABLETAS RECUBIERTAS,ME35130/3,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38037,ESOMEPRAZOL 20 MG X 14 TABLETAS RECUBIERTAS,ME35130/2,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38038,ESOZ 20 MG X 14 TABLETAS RECUBIERTAS,ME35407/3,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38039,ESOZ 20 MG X 28 TABLETAS RECUBIERTAS,ME35407/4,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38040,ESOZ 20 MG X 7 TABLETAS RECUBIERTAS,ME35407/2,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38041,ESOZ 40 MG X 14 TABLETAS RECUBIERTAS DE LIBERACION RETARDADA,ME34984/3,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38042,ESOZ 40 MG X 28 TABLETAS RECUBIERTAS DE LIBERACION RETARDADA,ME34984/4,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38043,ESOZ 40 MG X 7 TABLETAS RECUBIERTAS DE LIBERACION RETARDADA,ME34984/2,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38061,EXOVIS DUO 875 MG - 125 MG X 14 TABLETAS RECUBIERTAS,ME43210,INHRR,AMOXICILINA TRIHIDRATO - CLAVULANATO DE POTASIO,Amoxicilina,221,3196
38072,FENITOINA SODICA 50 MG / ML SOLUCION INYECTABLE,HO41409,INHRR,FENITOINA SODICA,Fenitoina,1428,5122
38079,FERGANIC FOLIC 40 MG - 360 MCG / 15 ML X 20 JARABE,ME33240/3,INHRR,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
38080,FERGANIC FOLIC 40 MG - 360 MCG / 15 ML X 1 JARABE,ME33240/2,INHRR,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
38081,FERGANIC FOLIC 40 MG - 360 MCG / 15 ML X 30 JARABE,ME33240/4,INHRR,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
