id,sku,nombre_comercial,foto_url
39095,ME16167,BETADERM CON GENTAMICINA 0.1 % - 0.1 % X 1 CREMA,
39096,HO22899,BETAMETASONA 4 MG / ML X 1 AMPOLLA,
39101,ME44721,BIOTALOL PE 10 MG - 5 MG COMPRIMIDOS RECUBIERTOS,
39103,ME44717,BIOTALOL PE 5 MG - 10 MG COMPRIMIDOS RECUBIERTOS,
39106,ME39139,BISOPROLOL FUMARATO 2.5 MG X 30 TABLETAS RECUBIERTAS,
39122,ME28953/3,CAPTOPRIL 25 MG X 30 TABLETAS,
39123,ME28953/2,CAPTOPRIL 25 MG X 20 TABLETAS,
39124,ME36838,CARBAMAZEPINA 200 MG COMPRIMIDOS RECUBIERTOS DE LIBERACION CONTROLADA,
39127,ME43086,CARICEL 2 MG - 0.02 MG COMPRIMIDOS RECUBIERTOS,
39128,ME35571/2,CARVEDILOL 12.5 MG X 20 TABLETAS RECUBIERTAS,
39129,ME35571/3,CARVEDILOL 12.5 MG X 30 TABLETAS RECUBIERTAS,
39130,ME40369,CARVEDILOL 25 MG X 20 TABLETAS RECUBIERTAS,
39131,ME36805,CARVEDILOL 6.25 MG COMPRIMIDOS,
39135,ME31589,CETIRIZINA 1 MG / ML SOLUCION ORAL,
39139,ME36304,CIPROFLOXACINA 500 MG COMPRIMIDOS RECUBIERTOS,
